"No          ";"Description     "
"1           ";"Total brakes counter"
"2           ";"Working time counter (under development)"
"3           ";"MS odometer"
"4           ";"MS work meter (under development)"
"5           ";"Type of next MS system maintenance"
"6           ";"Redirect to Menu screen"
"7           ";"Open pop up window with maintenance types info"
