"No          ";"Description     "
"1           ";"Debugging mode. Used in service cases."
"2           ";"MS system operating status (under development)"
"3           ";"Movement indicators"
"4           ";"Counters (total brakes, odometer)"
"5           ";"MS system status"
"6           ";"Fault and warning messages"
"7           ";"Switching between MS units (if are installed at same hoist system)"
"8           ";"Speedometer"
"9           ";"Redirect to Menu screen"
