"No          ";"Description     "
"1           ";"Redirects to the screen for MS system settings."
"2           ";"Redirects to the screen with MS system maintenance iformation"
"3           ";"Redirects to the screen with MS system self-test values"
"4           ";"Redirects to the Main screen"
"5           ";"Redirects to the screen with actual status of MS system (I/O status, current, voltage, etc.)"
"6           ";"Redirects to the screen with MS system event logs"
"7           ";"Redirects to the screen with information about current firmware and software versions."
"8           ";"Redirects to the screen for GUI language selection."
