"No          ";"Description     "
"1           ";"Redirects to the screen for MotoSuiveur® System settings."
"2           ";"Redirects to the screen with MotoSuiveur® System maintenance iformation"
"3           ";"Redirects to the screen with MotoSuiveur® System self-test values"
"4           ";"Redirects to the Main screen"
"5           ";"Redirects to the screen with actual status of MotoSuiveur® System (I/O status, current, voltage, etc.)"
"6           ";"Redirects to the screen with MotoSuiveur® System event logs"
"7           ";"Redirects to the screen with information about current firmware and software versions."
"8           ";"Redirects to the screen for GUI language selection."
